Factory_State_Route,Average_Lead_Time,Route_Volume,Route_Efficiency_Score
Sugar Shack → New Jersey,14.0,1,7.142857142857143
Sugar Shack → New York,10.11111111111111,9,34.920634920634924
Sugar Shack → Ohio,7.0,2,57.142857142857146
Sugar Shack → Pennsylvania,13.333333333333334,3,11.9047619047619
Sugar Shack → Rhode Island,3.0,1,85.71428571428571
Sugar Shack → Tennessee,2.0,1,92.85714285714286
Sugar Shack → Texas,6.0,3,64.28571428571429
Sugar Shack → Washington,3.0,1,85.71428571428571
The Other Factory → Alabama,10.5,2,32.142857142857146
The Other Factory → Arizona,8.5,2,46.42857142857143
The Other Factory → California,7.857142857142857,21,51.02040816326531
The Other Factory → Colorado,12.5,2,17.857142857142858
The Other Factory → Connecticut,3.0,2,85.71428571428571
The Other Factory → Delaware,6.5,2,60.714285714285715
The Other Factory → Florida,10.333333333333334,3,33.33333333333333
The Other Factory → Georgia,11.0,2,28.571428571428573
The Other Factory → Indiana,3.0,1,85.71428571428571
The Other Factory → Kentucky,10.0,2,35.714285714285715
The Other Factory → Louisiana,6.0,1,64.28571428571429
The Other Factory → Maryland,11.0,1,28.571428571428573
The Other Factory → Massachusetts,8.333333333333334,3,47.61904761904761
The Other Factory → Missouri,15.0,1,0.0
The Other Factory → Nevada,14.0,1,7.142857142857143
The Other Factory → New Hampshire,9.0,2,42.857142857142854
The Other Factory → New Jersey,7.666666666666667,3,52.38095238095237
The Other Factory → New York,9.357142857142858,14,40.306122448979586
The Other Factory → North Carolina,3.0,1,85.71428571428571
The Other Factory → Ohio,8.333333333333334,3,47.61904761904761
The Other Factory → Oregon,1.5,2,96.42857142857143
The Other Factory → Pennsylvania,7.285714285714286,7,55.10204081632653
The Other Factory → Rhode Island,11.0,1,28.571428571428573
The Other Factory → South Carolina,2.0,1,92.85714285714286
The Other Factory → Tennessee,6.666666666666667,3,59.52380952380952
The Other Factory → Texas,9.444444444444445,9,39.682539682539684
The Other Factory → Virginia,6.75,4,58.92857142857143
The Other Factory → Washington,8.75,4,44.642857142857146
Wicked Choccy's → Alabama,7.7727272727272725,22,51.62337662337662
Wicked Choccy's → Alberta,5.5,8,67.85714285714286
Wicked Choccy's → Arizona,8.371428571428572,105,47.346938775510196
Wicked Choccy's → Arkansas,8.11111111111111,27,49.20634920634921
Wicked Choccy's → British Columbia,4.75,4,73.21428571428571
Wicked Choccy's → California,8.091130012150668,823,49.34907134178094
Wicked Choccy's → Colorado,7.914285714285715,70,50.61224489795918
Wicked Choccy's → Connecticut,7.483870967741935,31,53.68663594470046
Wicked Choccy's → Delaware,7.877551020408164,49,50.87463556851311
Wicked Choccy's → District of Columbia,8.5,2,46.42857142857143
Wicked Choccy's → Florida,7.608695652173913,161,52.79503105590062
Wicked Choccy's → Georgia,7.815384615384615,65,51.31868131868132
Wicked Choccy's → Idaho,10.571428571428571,7,31.63265306122449
Wicked Choccy's → Illinois,7.995238095238095,210,50.034013605442176
Wicked Choccy's → Indiana,7.537037037037037,54,53.30687830687831
Wicked Choccy's → Iowa,8.857142857142858,14,43.877551020408156
Wicked Choccy's → Kansas,7.888888888888889,9,50.79365079365079
Wicked Choccy's → Kentucky,8.206896551724139,58,48.522167487684726
Wicked Choccy's → Louisiana,8.333333333333334,15,47.61904761904761
Wicked Choccy's → Maine,4.5,2,75.0
Wicked Choccy's → Manitoba,8.8,10,44.28571428571428
Wicked Choccy's → Maryland,7.024390243902439,41,56.968641114982574
Wicked Choccy's → Massachusetts,8.148148148148149,54,48.941798941798936
Wicked Choccy's → Michigan,7.17,100,55.92857142857143
Wicked Choccy's → Minnesota,7.644444444444445,45,52.53968253968254
Wicked Choccy's → Mississippi,9.409090909090908,22,39.935064935064936
Wicked Choccy's → Missouri,8.655172413793103,29,45.320197044334975
Wicked Choccy's → Montana,6.285714285714286,7,62.24489795918368
Wicked Choccy's → Nebraska,5.928571428571429,14,64.79591836734694
Wicked Choccy's → Nevada,8.416666666666666,12,47.023809523809526
Wicked Choccy's → New Brunswick,5.75,4,66.07142857142857
Wicked Choccy's → New Hampshire,9.181818181818182,11,41.558441558441565
Wicked Choccy's → New Jersey,8.372881355932204,59,47.3365617433414
Wicked Choccy's → New Mexico,5.764705882352941,17,65.96638655462185
Wicked Choccy's → New York,8.318807339449542,436,47.72280471821756
Wicked Choccy's → North Carolina,8.831683168316832,101,44.059405940594054
Wicked Choccy's → North Dakota,6.0,2,64.28571428571429
Wicked Choccy's → Nova Scotia,6.666666666666667,6,59.52380952380952
Wicked Choccy's → Ohio,8.333333333333334,189,47.61904761904761
Wicked Choccy's → Oklahoma,8.56,25,46.0
Wicked Choccy's → Ontario,7.233333333333333,30,55.476190476190474
Wicked Choccy's → Oregon,9.395348837209303,43,40.03322259136212
Wicked Choccy's → Pennsylvania,7.907488986784141,227,50.66079295154185
Wicked Choccy's → Prince Edward Island,8.5,4,46.42857142857143
Wicked Choccy's → Quebec,6.416666666666667,24,61.3095238095238
Wicked Choccy's → Rhode Island,6.523809523809524,21,60.54421768707483
Wicked Choccy's → Saskatchewan,12.5,2,17.857142857142858
Wicked Choccy's → South Carolina,7.473684210526316,19,53.7593984962406
Wicked Choccy's → South Dakota,4.333333333333333,3,76.19047619047619
Wicked Choccy's → Tennessee,9.149253731343284,67,41.7910447761194
Wicked Choccy's → Texas,8.146907216494846,388,48.95066273932253
Wicked Choccy's → Utah,8.478260869565217,23,46.58385093167703
Wicked Choccy's → Vermont,6.8,5,58.57142857142856
Wicked Choccy's → Virginia,8.169811320754716,106,48.787061994609175
Wicked Choccy's → Washington,7.963800904977376,221,50.25856496444732
Wicked Choccy's → West Virginia,9.5,2,39.285714285714285
Wicked Choccy's → Wisconsin,8.106382978723405,47,49.24012158054711
